iter	RMSE
0	0.6208895637
1	0.6114163317
2	0.6009942447
3	0.5930240772
4	0.5848806046
5	0.5765202836
6	0.5673199366
7	0.5590563989
8	0.5501788087
9	0.5421552532
10	0.5350731569
11	0.5266430334
12	0.5192279913
13	0.5117719173
14	0.5061447063
15	0.500344772
16	0.4924328459
17	0.4859782486
18	0.4791252872
19	0.4715133243
20	0.4651886632
21	0.4586537505
22	0.4524839829
23	0.4456977504
24	0.4397505016
25	0.4341249746
26	0.4297430674
27	0.4233346652
28	0.4172737514
29	0.4115843984
30	0.4061857818
31	0.4003674845
32	0.3941137672
33	0.3888009835
34	0.3835700226
35	0.379058714
36	0.3731913183
37	0.3675575812
38	0.3623010148
39	0.3571660613
40	0.3522504641
41	0.3473376386
42	0.3430803472
43	0.3385999533
44	0.3337606715
45	0.328553531
46	0.323769752
47	0.3190142143
48	0.3140947719
49	0.3104024941
50	0.3060027244
51	0.3016877125
52	0.2973715117
53	0.293816229
54	0.2897795373
55	0.2855186082
56	0.2847727225
57	0.2807991978
58	0.2766761474
59	0.2732338793
60	0.2698394082
61	0.2669932347
62	0.2632395744
63	0.2598590922
64	0.2560399371
65	0.2525084405
66	0.2497369055
67	0.2467309832
68	0.24324283
69	0.2398809256
70	0.2364975033
71	0.2330475676
72	0.2300669998
73	0.2269570673
74	0.2240170917
75	0.2216087682
76	0.2187923326
77	0.2161281584
78	0.2130434979
79	0.2102446531
80	0.2073597267
81	0.2042392414
82	0.2016416845
83	0.1989162497
84	0.196257425
85	0.1939662227
86	0.1917222854
87	0.1892130569
88	0.1866240409
89	0.1841668549
90	0.1817315917
91	0.1792900151
92	0.1769699356
93	0.1748652852
94	0.1724843219
95	0.1702591967
96	0.1683287919
97	0.1665126932
98	0.1645427388
99	0.1623847517
100	0.1602722727
101	0.1582505769
102	0.1562614274
103	0.1544621812
104	0.1527552801
105	0.1509604745
106	0.149765461
107	0.1480122019
108	0.1465464545
109	0.1445713381
110	0.1428695271
111	0.1414746141
112	0.1398979128
113	0.138155974
114	0.1363721072
115	0.1350743468
116	0.1335752466
117	0.132277683
118	0.1305866515
119	0.1291466399
120	0.1275564677
121	0.1261811219
122	0.124918026
123	0.1233963992
124	0.1221860476
125	0.1207630654
126	0.1195939449
127	0.1181472888
128	0.1170707324
129	0.115936077
130	0.1147201371
131	0.1136884731
132	0.112706462
133	0.1114172046
134	0.1105880186
135	0.1094572092
136	0.1082012118
137	0.1070918026
138	0.1059756606
139	0.1050962279
140	0.1041166797
141	0.1029621284
142	0.1018421064
143	0.100963443
144	0.09988558277
145	0.09899743128
146	0.09804137216
147	0.09718166034
148	0.09632710093
149	0.09542244095
150	0.09456589091
151	0.0938331669
152	0.09286559077
153	0.09217077228
154	0.09139858374
155	0.09050118202
156	0.08969800923
157	0.08881411335
158	0.08794034869
159	0.0869835881
160	0.08616982661
161	0.08550396695
162	0.08471392818
163	0.08410535253
164	0.08340312369
165	0.08276937705
166	0.08199369385
167	0.08134417294
168	0.0806683165
169	0.08004396601
170	0.07932146857
171	0.07878589116
172	0.0781195718
173	0.07739279376
174	0.07683720119
175	0.07623620203
176	0.07579521976
177	0.07508005252
178	0.07448118921
179	0.07388825679
180	0.07325965798
181	0.07258263261
182	0.07190124052
183	0.07138847996
184	0.07076829743
185	0.07032631418
186	0.06984754988
187	0.06926313372
188	0.06882428887
189	0.06833050671
190	0.06781332184
191	0.06727075259
192	0.06681364374
193	0.06628492167
194	0.06590107825
195	0.06545367222
196	0.06488597701
197	0.06457080755
198	0.06408312072
199	0.06356368485
200	0.06306534943
201	0.06258225319
202	0.06203053805
203	0.06154987216
204	0.06109145981
205	0.06062755483
206	0.06018612598
207	0.05981479591
208	0.05945840963
209	0.0590266839
210	0.05870227451
211	0.0583154287
212	0.05802751724
213	0.05766863779
214	0.05746052349
215	0.05705283584
216	0.05662388953
217	0.0562147558
218	0.05589799064
219	0.05555393356
220	0.05518582738
221	0.05483022568
222	0.05453682358
223	0.05424094646
224	0.05393584856
225	0.05359082843
226	0.05329940969
227	0.05303167206
228	0.05275032294
229	0.05242006235
230	0.0520928841
231	0.0518209877
232	0.05169133813
233	0.05138174559
234	0.05110492244
235	0.05090114787
236	0.05062640004
237	0.05032358499
238	0.05019261807
239	0.04990148696
240	0.04964746659
241	0.04937349535
242	0.04913118089
243	0.04888065139
244	0.04864251103
245	0.04846064945
246	0.04819936696
247	0.04793264521
248	0.04762939608
249	0.04737179859
250	0.04714208459
251	0.04692462544
252	0.04666875445
253	0.04645933854
254	0.04629399934
255	0.04607766731
256	0.04572470357
257	0.04559638572
258	0.0454858516
259	0.04538985358
260	0.04518992917
261	0.04499601972
262	0.04482250484
263	0.04460862267
264	0.04442930582
265	0.04423196538
266	0.04404436505
267	0.04383456915
268	0.04365526212
269	0.04348826995
270	0.04331313133
271	0.04314106529
272	0.04295559741
273	0.0427427728
274	0.04257284027
275	0.0424816019
276	0.04230286351
277	0.04203625705
278	0.0418738598
279	0.04171347547
280	0.04153516089
281	0.04137737258
282	0.04110422167
283	0.04095057968
284	0.04083665491
285	0.04067747229
286	0.04049796294
287	0.04035019075
288	0.04023190598
289	0.03995653971
290	0.03982317089
291	0.03967809355
292	0.03953718294
293	0.0393898534
294	0.03926240839
295	0.03915280395
296	0.03904472519
297	0.03881840645
298	0.03859159222
299	0.03839652445
300	0.03832035033
301	0.03810554466
302	0.0379203552
303	0.03773063603
304	0.03749204989
305	0.03736537803
306	0.03729942246
307	0.03709910307
308	0.03686081861
309	0.03673818502
310	0.03664715178
311	0.03652708903
312	0.03640855834
313	0.03629154176
314	0.0361760215
315	0.03606197995
316	0.0359493997
317	0.0358463035
318	0.03573638925
319	0.0356278884
320	0.03552078419
321	0.03543483121
322	0.03532981823
323	0.0352261596
324	0.03512383914
325	0.03502971318
326	0.03493671053
327	0.03483794723
328	0.03474046503
329	0.03465076083
330	0.03456312728
331	0.03447681064
332	0.03438941921
333	0.03431264374
334	0.03422690554
335	0.03413566277
336	0.03404560987
337	0.03397719921
338	0.03389529364
339	0.03381437305
340	0.03372823906
341	0.03366287023
342	0.0335914698
343	0.03350775767
344	0.03343100928
345	0.03334932713
346	0.03326872158
347	0.03309473005
348	0.03303388107
349	0.03296644782
350	0.03289419842
351	0.03281730989
352	0.03274378804
353	0.03266837717
354	0.03259396571
355	0.03252555938
356	0.0324530046
357	0.03238625919
358	0.03231548179
359	0.03225035245
360	0.03218881269
361	0.032025142
362	0.0319570215
363	0.03189717948
364	0.03183491137
365	0.03177340105
366	0.03172281516
367	0.03166286306
368	0.03160536277
369	0.03154181408
370	0.03147749628
371	0.03142187489
372	0.03126005807
373	0.03110159702
374	0.03104481501
375	0.03099101344
376	0.030935271
377	0.03078124019
378	0.03072657637
379	0.03067257928
380	0.03061330334
381	0.03056220265
382	0.03050950518
383	0.03043908699
384	0.03038731765
385	0.03033617901
386	0.03019288361
387	0.03014273524
388	0.03003189058
389	0.02998253439
390	0.02993377984
391	0.02982503569
392	0.02977704734
393	0.02972554611
394	0.02967872441
395	0.02954370313
396	0.02949765837
397	0.02945200361
398	0.02934754903
399	0.02920214721
400	0.02915752279
401	0.02905554561
402	0.029011614
403	0.02896091708
404	0.02886465541
405	0.02882163486
406	0.02877913721
407	0.02865045573
408	0.02860876202
409	0.02856757597
410	0.02852689168
411	0.02840592794
412	0.02831435454
413	0.0282745715
414	0.02823527327
415	0.02814530414
416	0.02810660776
417	0.02806838275
418	0.02793538087
419	0.02784755933
420	0.02781016807
421	0.02768120956
422	0.02759536012
423	0.02755877668
424	0.02752263909
425	0.02748962714
426	0.02740530131
427	0.02737269751
428	0.02724887985
429	0.02716637551
430	0.02713439199
431	0.02710276541
432	0.02707149212
433	0.02701033337
434	0.02695002685
435	0.02690301392
436	0.02685651738
437	0.02680883457
438	0.02669004195
439	0.02663197841
440	0.02651614289
441	0.02647006104
442	0.02637561062
443	0.02634544309
444	0.026315613
445	0.02628611687
446	0.02623022662
447	0.02617512556
448	0.02612080113
449	0.026077154
450	0.0259868375
451	0.02595782028
452	0.02592912783
453	0.02581841139
454	0.02576258659
455	0.02573441867
456	0.02567928633
457	0.02557162381
458	0.02549138985
459	0.02546373021
460	0.02543638102
461	0.0253572497
462	0.02533020247
463	0.0253034591
464	0.02527028934
465	0.02521206857
466	0.02518591887
467	0.02512838118
468	0.02510253592
469	0.0250456722
470	0.02502012733
471	0.02496392863
472	0.02493193614
473	0.02487636114
474	0.02477409163
475	0.02469939327
476	0.02466796527
477	0.02464341149
478	0.02456966373
479	0.02453885793
480	0.02451483083
481	0.02446827446
482	0.02442237876
483	0.02437713333
484	0.02433252794
485	0.02428855256
486	0.02425840584
487	0.02421504887
488	0.02417230268
489	0.02413015772
490	0.02408860466
491	0.02404763427
492	0.02399542922
493	0.02390831918
494	0.02387866242
495	0.0238494061
496	0.02382670897
497	0.0237872501
498	0.02374834265
499	0.02366442188
500	0.02364214115
501	0.02361387419
502	0.02357599771
503	0.02346803797
504	0.02344408309
505	0.02342043613
506	0.02338952639
507	0.02335897102
508	0.02332876623
509	0.02328062448
510	0.02317608764
511	0.02315295476
512	0.02313211744
513	0.02310268905
514	0.02306261168
515	0.02304016028
516	0.02301112935
517	0.02298243285
518	0.02292750509
519	0.02282647756
520	0.0228044398
521	0.02278268455
522	0.0227547034
523	0.02270095473
524	0.02260266132
525	0.0225812604
526	0.02256192223
527	0.02254097244
528	0.02251372111
529	0.02248678534
530	0.02243439112
531	0.02233887454
532	0.02231782087
533	0.0222970388
534	0.02225376415
535	0.02223327056
536	0.02220703237
537	0.02218109943
538	0.02215546838
539	0.02206251363
540	0.02204246153
541	0.02201721748
542	0.02199226799
543	0.02190160792
544	0.02188194773
545	0.02183941274
546	0.02182002147
547	0.0217792713
548	0.0217549482
549	0.02171499521
550	0.02162746788
551	0.02160841371
552	0.02158960606
553	0.02157104171
554	0.02154735802
555	0.02150861589
556	0.02142373444
557	0.02140542216
558	0.0213823004
559	0.02134071639
560	0.02131786465
561	0.02128057782
562	0.02119816433
563	0.02118017971
564	0.02115787122
565	0.02113582678
566	0.0211140434
567	0.02107316066
568	0.02103747368
569	0.0209574855
570	0.02093617182
571	0.02091005972
572	0.02088898412
573	0.02086815911
574	0.02079011386
575	0.02075008594
576	0.02072477114
577	0.02069976261
578	0.02066634918
579	0.02060573605
580	0.02056643414
581	0.02054593596
582	0.02052149969
583	0.02049736016
584	0.02048011219
585	0.02044755069
586	0.020430524
587	0.02037112334
588	0.02033262983
589	0.02030896719
590	0.02028559327
591	0.0202688079
592	0.02023707817
593	0.0202205077
594	0.02020415421
595	0.0201812406
596	0.02013237513
597	0.02010117757
598	0.02007043557
599	0.02002248613
600	0.02000005801
601	0.01993485278
602	0.01990473622
603	0.01988875417
604	0.01985907436
605	0.01984015503
606	0.01982146715
607	0.01979220456
608	0.01974541643
609	0.01968215385
610	0.01966079841
611	0.01963213513
612	0.01961754001
613	0.01955584435
614	0.01951833174
615	0.0194578368
616	0.01942075485
617	0.01936143551
618	0.01934094184
619	0.01930434499
620	0.0192462849
621	0.01921010837
622	0.01915317516
623	0.01912576469
624	0.01909005526
625	0.01903592479
626	0.0190163227
627	0.01898108544
628	0.01894632868
629	0.01891164247
630	0.01885693953
631	0.01882264994
632	0.01877056946
633	0.01873644281
634	0.01871126884
635	0.01868638774
636	0.01863373633
637	0.01860907563
638	0.01858356462
639	0.01855837733
640	0.01853350972
641	0.01850895783
642	0.0184847177
643	0.01845554483
644	0.01840503181
645	0.01838131455
646	0.01836264304
647	0.01834464547
648	0.01829361839
